LotArea,OverallQual,YearBuilt,GrLivArea,FullBath,GarageCars,SalePrice
10270,4,1968,1178,1,1,445419
3860,3,1983,3861,2,0,771624
8390,9,2017,2987,2,2,973454
8191,2,2001,3480,2,1,678732
14964,4,1976,506,1,1,352509
14284,6,1978,3767,1,2,957606
8734,2,1977,2968,2,2,618138
9265,8,1984,2091,2,0,756884
3466,8,1957,1332,1,2,685468
7426,1,1965,3764,1,2,698829
8578,3,1985,3106,2,2,701628
14636,9,1979,3719,1,0,1044615
14363,5,1967,2310,2,2,669329
14111,6,1951,3773,1,2,969016
11322,4,1998,1413,2,0,437588
4685,2,1953,2511,2,2,529764
3769,8,1956,1942,1,2,786072
13583,6,1988,1950,2,0,666957
9949,5,1962,3554,2,1,850330
5433,9,1980,2002,2,0,766760
8311,1,2020,625,1,2,240671
8051,5,2012,2942,1,2,754773
9420,6,2005,1316,1,2,603555
4184,5,1991,3428,2,0,790596
7555,6,2010,2329,1,2,740372
6385,6,1991,1075,2,2,528010
9396,7,2005,2872,2,0,846443
14096,4,1985,1915,1,1,552068
11666,8,2017,1429,1,1,678151
12274,7,1956,1963,2,2,749720
5558,9,2003,3775,2,0,1067403
10849,7,1950,1332,1,2,618628
5047,3,1993,1554,1,0,400022
5747,3,1994,3959,1,0,796956
12167,8,1996,2148,2,1,813522
12998,5,1962,2400,2,1,695095
3189,4,1971,1957,2,0,546093
5734,8,1970,3384,2,2,976951
6005,6,1958,3473,2,1,896019
7658,2,1975,1899,1,2,458708
4899,4,1958,3915,1,1,859980
10734,4,1964,942,2,1,393218
4267,6,1959,2622,2,2,762257
4528,6,1991,1056,1,1,489491
14394,1,2021,1678,1,1,394719
6556,8,1973,2537,1,2,874407
6890,6,1998,862,1,1,480321
11838,3,1975,2995,2,1,666080
14080,9,1986,1757,1,1,787335
8393,2,2017,2341,2,2,552886
13627,8,1999,2809,1,0,881670
11792,3,1973,2350,1,2,599775
13555,5,1968,2672,1,0,691241
13253,6,2009,1410,2,1,578696
11433,6,1988,744,2,0,453649
13233,4,1967,1041,1,2,461962
14016,3,1968,3032,2,2,677707
10513,4,1985,2669,2,1,653630
5612,1,2004,2672,1,0,490645
10041,4,2018,2072,1,1,561787
12555,1,1996,2717,2,1,548781
9235,1,1998,623,2,2,217802
8486,6,1982,3606,2,0,876913
10099,5,1970,3658,1,0,847996
12670,4,1971,3193,1,0,746721
13748,3,1997,2231,2,0,545855
3775,1,1986,1285,1,1,304975
11226,6,1964,2543,1,1,728739
6152,2,1984,2748,2,2,610952
13147,8,2020,2916,2,1,908183
4585,5,1981,1296,1,1,491197
6943,7,1960,576,1,2,495982
10555,2,1959,558,2,2,293804
6073,8,2006,2978,1,2,912389
4021,2,1974,3185,1,1,618407
14653,4,1951,2023,2,1,554222
13805,1,2013,2436,2,2,513781
6843,5,1984,2656,1,2,720436
10989,9,1956,3555,1,2,1045603
12692,1,1967,1801,1,1,398564
9873,9,2016,567,2,1,595542
8675,8,1991,3640,1,0,986236
3161,6,1988,3736,1,1,931070
7297,7,1990,2852,2,1,855298
13173,3,1973,2432,2,1,593797
3995,1,2009,3221,1,2,588973
14534,5,1995,864,2,1,430561
10629,2,1968,1320,2,2,389831
14990,5,2017,1902,1,0,596651
12467,8,1991,2890,2,0,899308
4016,9,1981,1446,2,2,726758
10869,2,1988,3446,1,2,713058
9439,3,1985,2077,2,2,542352
10892,3,1985,1877,1,1,506701
9863,1,1952,1939,1,0,381775
10916,8,1957,3680,2,2,1039700
11529,6,2019,1261,2,1,541000
3878,8,1990,840,2,0,554353
12268,9,2017,3489,1,1,1054291
7887,5,1962,882,2,0,430770
7859,3,1998,1503,1,1,454291
9331,5,2009,2056,2,0,593051
